username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
Kravolis,grove hired a marketing team to flood twitter with bs posts and its been a complete failure with so many utilities dropped they will never recover its over  scam crypto btc eth bnb sol meme pepe floki etf grovex grovegreenarmy,#Grove hired a marketing team to flood twitter with BS posts and its been a complete failure with so many utilities dropped they will never recover its OVERScam #crypto #btc #eth -#bnb #sol #meme #pepe #floki #etf#Grovex #grovegreenarmy,01/23/2024,0.0,0.0,0.25,0.5,0.25,-4,-2,-0.7906,-1,0.9770156145095825
solvarela011,ive been using panasonic viera for years now and it never disappoints the picture quality is simply amazing,Ive been using Panasonic Viera for years now and it never disappoints! The picture quality is simply amazing.,01/24/2024,0.0,0.0,0.5,0.5,0.0,2,0,0.717,1,0.9921872615814209
monk_tc,wuffi_inu is about to airdrop wuf token to waxp holders wuffi is backed by a massive lineup of partners on wax_io and soon heading to solana  get on the early adopter list   waxp sol bonk doge shib floki wif bblkioajr5,.@wuffi_inu is about to airdrop $WUF token to $WAXP holders! WUFFI is backed by a massive lineup of partners on @wax_io and soon heading to @Solana!Get on the Early Adopter list ⏬$WAXP $SOL $BONK $DOGE $SHIB $FLOKI $WIF bblk.io/AJr5,01/24/2024,0.0,0.0,0.0,0.0,1.0,1,0,0.0258,1,0.5571674108505249
NickNFTn,1 winner eth or sol  24 hours   rt  like   comment done  crypto memecoins,1 Winner $ETH or $SOL • 24 Hours• RT + Like 🔔• Comment Done#Crypto #Memecoins,01/24/2024,0.0,0.0,0.0,0.0,0.0,6,3,0.743,0,0.8492016196250916
SolanaFloor,just in jupiterexchange exchange to launch a dao called jupiter united planet jup,🚨JUST IN: @JupiterExchange exchange to launch a DAO called “Jupiter United Planet” J.U.P.,01/24/2024,0.0,0.0,0.0,0.0,0.0,1,0,0.4215,0,0.8830193877220154
Cocktail_Sol,gm web 3 enjoyers    buy a froganasnft thats the alpha,Gm web 3 enjoyers ☕️ Buy a @froganasnft thats the alpha 🐸,01/24/2024,0.0,0.0,0.0,0.0,1.0,0,0,0.4939,1,0.9082564115524292
SolanaFloor,breaking good cat allocation results for jup allocation are out now  if you submitted the application you can check your allocation now  goodcatsjupag,🚨BREAKING: Good Cat allocation results for $JUP allocation are out now.If you submitted the application you can check your allocation nowgoodcats.jup.ag/,01/24/2024,0.0,0.0,1.0,0.0,0.0,3,0,0.4404,1,0.8139124512672424
GemVader,i have a great news for you all  project_hive_io hgt ido is officially sold out   starlaunchsol  gamestarter  openpad_io   listing on raydiumprotocol 0300 pm utc jan 25 vesting 20 at tge crypto p2e sol,🔥I have a great news for you all ! @Project_Hive_io $HGT #IDO is Officially SOLD OUT @StarLaunchSOL ✅@gamestarter ✅@Openpad_io ✅#Listing on @RaydiumProtocol |03:00 PM UTC Jan 25Vesting: 20% at TGE#Crypto #P2E #SOL,01/24/2024,1.0,0.0,0.0,0.0,0.0,3,1,0.6249,1,0.9853726029396057
cgtoficialok,learn why btcz is actually a green pure crypto network not another wannabe cryptocurrency utilizing pos  acting as central authority bitcoin btc eth icp dot sol avax link dym loka manta uma well rndr wif tao pyth ice atom stx savm xplus tia sc op,Learn why $BTCZ is actually a GREEN #pure #Crypto #network NOT another wannabe #cryptocurrency utilizing PoS & acting as #Central authority#Bitcoin $BTC $ETH $ICP $DOT $SOL $AVAX $LINK $DYM $LOKA $MANTA $UMA $WELL $RNDR $WIF $TAO $PYTH $ICE $ATOM $STX $SAVM $XPLUS $TIA $SC $OP,01/23/2024,0.0,0.0,0.33,0.0,0.67,1,2,0.6908,0,0.9407662153244019
saturnonsolana,paste your sol wallet address  see you in 24 hours  must follow with   first 999 to drop wallet  interact will get dm,Paste your SOL wallet addressSee you in 24 hours...Must follow with 🔔First 999 to drop wallet & INTERACT will get DM🫡,01/23/2024,0.0,0.0,0.0,0.0,1.0,-1,0,-0.2732,0,0.976558268070221
FabianoSolana,gm gm   parcl nft is on fire  ovolsnft cant stop pumping  picture shows floor price changes in sol 1d source solsniperxyz,gm gm 💚➡️@Parcl NFT is on fire 🔥➡️@OvolsNFT cant stop pumpingpicture shows floor price changes in SOL (1d) source:@solsniperxyz,01/24/2024,0.0,0.0,1.0,0.0,0.0,-3,0,-0.1311,-1,0.701727569103241
StarkDegenz,money printer goesss brrr 100 giveaway    to share between 2 winners   to enter     1  follow starkdegenz  brrrstarknet   2  like repost  tag 3 degenz   well pick the winners in 48h   gl   starknet giveaway airdrop strk btc sol eth bonk wif,🎁 Money printer goesss $BRRR 100$ giveaway 🎁 To share between 2 winners 🤝To enter :  1️⃣  Follow @StarkDegenz & @BrrrStarknet 2️⃣  Like repost & tag 3 degenz We’ll pick the winners in 48h Gl 🫡#starknet #giveaway #airdrop $strk $btc $sol $eth $bonk $wif,01/23/2024,0.0,0.0,0.0,0.0,1.0,3,5,0.9231,0,0.8389789462089539
sakugaclips,hiroto nagata rwby ice queendom,Hiroto Nagata (RWBY: Ice Queendom),01/24/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9054445624351501
CrashiusClay69,and just like that we are flying   every single solanamobile holder has just received 10000 print tokens  this means that every single solanamobile user will see constant notifications of sol rewards simply because they hold print  genius move by printprotocol   sniffed out the bottom there   charts dont lie we are going so much higher,And just like that we are flying! Every single @solanamobile holder has just received 10000 $PRINT tokens.This means that every single @solanamobile user will see constant notifications of $SOL rewards simply because they hold $PRINT.Genius move by @PrintProtocol Sniffed out the bottom there. Charts don’t lie we are going so much higher 🔥,01/23/2024,0.0,0.0,1.0,0.0,0.0,4,1,0.6808,1,0.7744715213775635
EzMoneyGems,this is big   artemisai_erc googlestartups   do not fade atai currently 11mil seeing 5mil short term mid term targeting 3050mil will come back to this tweet,This is BIG 🤯@artemisai_erc 🤝@GoogleStartups Do not fade $ATAI currently $1.1mil seeing $5mil short term mid term targeting $30-50mil will come back to this tweet.,01/24/2024,0.0,0.5,0.0,0.0,0.5,1,0,0.0,1,0.9476922750473022
artemisai_erc,99 of the other crypto cannot fulfill  these fundamentalsthe lack of any central authority issuing and controlling coins getbtczcom bitcoin crypto btc eth icp dot sol link dym loka manta uma well rndr wif tao pyth ice atom stx savm xplus,99+% of the other #crypto cannot fulfill  these fundamentals.The lack of any #central authority issuing and controlling #coinsgetbtcz.com#Bitcoin #Crypto $BTC $ETH $ICP $DOT $SOL $LINK $DYM $LOKA $MANTA $UMA $WELL $RNDR $WIF $TAO $PYTH $ICE $ATOM $STX $SAVM $XPLUS,01/24/2024,0.33,0.0,0.33,0.0,0.33,1,0,-0.3195,-1,0.8665330410003662
BitcoinzCrypto,any update,Any update?,01/22/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9327967166900635
feyzullahtunc,good morning nft fam  my genesis piece on the solana platform  colorful sheep  is now on sale exchgart    colorful sheep  1010 edition  025 sol    solanacommunity solananfts exchangeart0x0981c0a95bebe,Good Morning #nft famMy Genesis piece on the Solana platform  Colorful Sheep  is now on sale @exchgART 💫 Colorful Sheep💫 10/10 Edition💫 0.25 SOL  #SolanaCommunity #SolanaNFTsexchange.art/0x0981c0a95bebe…,01/24/2024,0.0,0.0,0.0,0.0,0.0,3,3,0.4404,1,0.6172844171524048
CropBytes,rayan cb farmer won the incredible chichu superhero in week 1 of the super raffle week 2 is where you can win bloosm 18k cbx and house 15k cbx   get your tickets here cropbytescomsuperrafflew    ticket cost  5   ends on  26th jan,Rayan (CB Farmer🧑‍🌾) won the incredible Chichu Superhero in week 1 of the Super Raffle! Week 2 is where you can win Bloosm (18K $CBX) and House (15K $CBX) 🔥🔥⭐️⭐️Get your tickets here: cropbytes.com/super-raffle-w… 🎟️ Ticket cost - $5 ⌛️ Ends on - 26th Jan,01/24/2024,0.0,0.0,0.75,0.0,0.25,10,5,0.9081,1,0.8723700046539307
MPSEnfield,wanted  police want to locate sol lambert 19 who is sought after failing to answer bail in connection with a firearms incident in enfield  do you know where he is or can you help us find him  if so pls call 101 quote cad523622jan  read more   owly2jft50qtwzo,#WANTED | Police want to locate Sol Lambert 19 who is sought after failing to answer bail in connection with a firearms incident in #Enfield.Do you know where he is or can you help us find him?If so pls call 101 quote CAD5236/22Jan.Read more 👇ow.ly/2JfT50QtwZo,01/23/2024,0.0,0.0,0.0,0.0,0.0,1,-1,0.1132,0,0.9389902353286743
SlappaDeBass,i did a bunch of stuff on god of war ragnarok most of my time was spent focused on playable atreuss combat set and the wight  full reel vimeocom808939874  thanks to therealbigfeel for spending 6 hours doing game captures for me  godofwarragnarok,I did a bunch of stuff on God of War: Ragnarok!Most of my time was spent focused on Playable Atreuss combat set and the Wight.Full Reel: vimeo.com/808939874(Thanks to @TheRealBigFeel for spending ~6 hours doing game captures for me! 😅)#GodOfWarRagnarok,03/17/2023,0.25,0.25,0.25,0.0,0.25,2,0,0.0772,1,0.8188328742980957
